,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-322.00577,76.79216,-15.173444,54.220863,19.202099,7.930552,7.0038557,18.357649,-5.2107415,9.169245,14.730495,1.2211868,8.740802,9.225014,-6.8938274,6.868269,19.696903,0.62528557,-3.0753567,10.746328
1,-319.37363,66.672745,-24.823166,59.47606,12.743686,6.876832,6.072919,25.101448,-3.247325,17.521765,15.055328,1.2012409,11.287828,10.880441,-7.2273426,4.007555,13.852236,-0.7736536,4.3629847,15.747155
2,-304.58707,68.1386,-32.131172,65.174065,-4.2054768,1.5987002,5.481522,24.688051,-3.3038805,21.43688,7.2837467,7.1194954,15.748233,10.948242,0.58458126,7.7972975,11.872317,3.0930624,5.6669283,12.174589
3,-291.60022,73.93277,-33.442104,59.190132,-11.565611,-2.5752769,-1.65298,20.91837,-1.4513204,18.10841,5.790947,6.336216,15.374117,8.626995,1.1729008,10.624493,18.243618,6.1513557,1.9120095,10.576757
4,-296.67783,72.705215,-40.330452,45.79587,-6.396544,7.260746,5.535648,19.292614,-0.03711292,19.342213,5.847725,0.78432614,16.323761,11.263023,4.001733,9.876706,15.790009,4.5264034,-4.481859,8.526579
5,-303.69415,66.852684,-35.66687,47.259632,-3.6317456,9.771458,9.603029,16.690437,-1.7069461,16.950863,3.8925712,-3.412189,10.99068,8.285186,2.3055532,3.776347,10.403315,3.8082247,-8.206192,4.0533648
6,-320.51028,74.53625,-30.686535,53.20438,-9.500549,2.7037642,3.8369513,18.203,-0.41154176,13.377565,-2.7978303,-7.864972,3.9727426,4.748498,2.305635,1.4408165,7.64715,7.1638412,-5.9983225,6.7531037
7,-318.67706,79.980774,-29.713718,58.385323,-5.533677,1.6342705,10.669986,22.353153,-4.575096,16.842741,0.42504513,-4.392915,9.818372,12.729242,7.947008,7.283781,9.209223,8.234217,-0.03204851,9.733725
8,-320.4215,77.015396,-30.150673,58.525864,-0.84358907,5.3771896,8.4909725,19.854794,-3.9158394,26.165874,11.577476,4.292967,14.632839,14.920826,6.8136964,7.5436797,14.536506,8.813812,1.3220344,8.60584
9,-316.7279,76.85563,-31.314035,44.972267,-6.9946146,7.560715,3.0310268,21.15551,-2.9834118,23.011257,14.162775,3.5551052,9.506118,14.4909725,-0.23218645,5.0063105,14.462171,10.560097,-1.1722857,6.2192955
10,-316.73367,79.89026,-31.868221,44.629223,-7.427296,2.1624172,1.7164123,22.25074,-8.675058,18.291237,15.878773,1.7575818,8.794146,14.452801,-2.337276,4.9736466,13.38249,8.693285,4.948348,15.358181
11,-317.1037,74.22897,-28.823967,42.13553,-8.40963,-4.9040465,4.984425,19.229435,-13.315046,17.503971,14.954717,2.2357714,13.227595,18.031414,3.4162765,3.8178134,10.463373,-1.3772097,1.8934121,12.173893
12,-310.56268,71.49867,-21.614056,44.10828,-2.1093426,7.4261,11.197657,22.63633,-7.522606,23.713799,19.455917,-1.7283789,9.511676,18.49364,3.717266,2.8809628,8.184929,-4.2584176,-1.310597,5.485006
13,-322.71973,88.3512,-19.814499,52.304993,-1.5249882,11.309069,4.393672,20.575563,-4.5390987,26.664146,16.342993,-7.850769,7.4034915,20.144608,3.6086397,8.22167,17.137753,-0.31308612,-2.2691877,8.410845
14,-323.5209,89.08014,-23.774384,41.53239,6.736285,5.088125,8.721849,11.884843,-2.3956707,17.861195,16.968529,-9.364521,7.592468,14.612207,5.429761,9.56331,17.840324,3.9470966,0.15251851,16.315964
15,-325.4147,75.60271,-16.079042,43.955532,8.097524,0.15619159,16.624523,6.577671,-3.1161323,16.370907,14.83783,-4.6489406,7.503359,11.611856,7.7321253,4.3724017,8.923977,4.222959,-0.17345428,11.645948
16,-334.62796,74.54622,-20.36456,51.495506,-5.356922,2.3181512,14.752604,15.886501,-0.2251814,22.612717,11.329895,-1.0066658,8.97713,12.315026,7.9580617,4.5636644,7.3641477,3.5851576,3.5519028,11.161321
17,-291.02725,78.85011,-24.052887,37.415916,-14.59989,12.831782,10.056843,23.798328,-1.8914212,27.44642,9.979431,3.710796,0.3977689,4.148079,-6.4858427,9.505693,15.585432,5.9600525,8.852885,3.4632087
18,-284.00552,85.99095,-28.479095,34.97551,-15.78516,8.692158,10.483648,23.847588,1.4419484,29.809319,8.679134,1.9328845,2.9107194,6.1852846,-7.284688,8.62285,15.726948,6.267659,6.516162,0.51430136
